Number,q1,q2,q3,raceeth,q6,q7,q23,q26,q28
314,5,2,3,8,1.78,80.74,2,1,1
315,5,2,3,6,1.68,56.25,2,2,1
316,5,2,3,7,1.73,61.24,2,2,1
317,6,2,3,6,1.83,68.04,1,2,1
318,7,2,4,5,1.85,74.84,2,2,1
319,6,1,4,2,,,2,1,1
320,5,2,3,7,1.8,68.95,2,2,1
321,7,2,4,5,1.9,79.38,2,2,1
322,5,1,3,7,,,2,2,1
323,6,2,3,7,1.73,63.5,2,2,1
324,5,1,3,7,,,1,2,1
325,5,2,3,5,1.78,61.24,2,2,1
326,6,1,4,6,1.55,52.16,2,1,1
327,5,1,3,5,1.7,56.25,1,2,1
328,5,1,3,3,1.65,61.24,2,2,1
329,3,2,1,3,1.78,69.85,1,1,3
330,3,2,1,8,1.68,72.58,2,1,1
331,3,1,1,6,1.68,54.43,2,2,1
332,5,2,3,3,1.75,61.24,2,2,1
333,6,2,4,8,1.85,72.58,2,2,1
334,6,1,3,7,1.63,52.62,2,2,1
335,4,1,3,7,1.68,51.71,1,2,1
336,6,2,3,5,1.8,81.65,2,2,1
337,6,1,3,7,1.68,72.58,1,1,1
338,6,1,4,7,1.6,58.97,2,2,1
339,3,2,1,3,1.6,61.24,2,2,1
340,3,2,1,7,1.57,63.5,2,2,1
341,3,2,1,8,1.93,79.38,2,2,1
342,3,1,1,5,1.68,51.26,2,2,1
343,4,2,1,3,1.8,77.11,2,2,1
344,3,2,1,,1.55,56.25,2,2,1
345,3,2,1,6,1.65,58.06,1,2,1
346,3,2,1,6,1.73,81.19,2,2,1
347,4,1,2,8,1.65,83.46,2,2,1
348,3,2,1,7,1.7,49.9,2,1,1
349,3,1,1,7,,,2,2,1
350,3,2,1,5,1.75,71.22,2,2,1
351,3,2,1,6,1.73,64.41,2,2,1
352,3,1,1,5,1.57,49.9,2,2,1
353,3,2,1,,1.68,74.84,2,2,1
354,3,1,1,7,1.7,63.96,2,1,3
355,3,2,1,5,,,,1,1
356,4,2,1,5,1.83,70.31,2,2,1
357,3,1,1,5,1.6,58.06,1,1,2
358,4,1,1,2,,,2,2,1
359,4,1,1,7,1.5,44,2,2,1
360,3,1,1,7,1.68,59.88,2,2,1
361,3,2,1,2,1.8,123.83,2,2,1
362,3,2,1,6,1.68,55.34,2,2,1
363,3,1,1,7,1.68,55.34,2,2,1
364,4,2,1,7,1.83,90.72,2,2,1
365,4,1,1,6,1.68,59.88,2,2,1
366,4,1,1,7,,,1,1,2
367,3,1,1,7,1.68,58.97,2,2,1
368,4,2,1,,1.65,46.72,2,2,1
369,6,1,4,7,1.6,80.74,1,1,3
370,7,1,4,5,1.75,83.92,1,1,2
371,7,1,4,7,,,2,1,1
372,6,2,3,5,1.78,86.18,2,2,1
373,5,,3,6,,,1,2,1
374,6,2,4,7,1.88,119.75,2,2,1
375,6,2,4,7,1.75,90.72,2,2,1
376,6,1,3,8,1.55,61.24,1,1,3
377,6,2,3,3,,,2,2,1
378,6,2,4,7,1.8,102.06,2,2,1
379,6,2,4,3,,,2,2,1
380,6,1,4,7,1.68,50.35,2,1,1
381,6,2,3,7,1.73,95.26,2,2,1
382,5,1,3,6,1.6,55.34,2,2,1
383,6,1,4,8,1.63,81.65,2,2,1
384,6,1,4,5,1.68,58.06,2,2,1
385,6,2,4,5,1.73,62.6,2,2,1
386,6,1,4,5,1.68,65.32,2,1,1
387,7,1,4,5,1.73,117.94,2,2,1
388,6,1,4,8,1.52,52.16,1,1,3
389,6,2,4,5,1.83,78.47,2,2,1
390,6,1,3,5,1.65,52.16,1,2,1
391,7,2,4,7,1.7,81.65,2,2,1
392,6,1,4,5,1.57,63.5,2,1,2
393,5,2,3,7,1.78,72.58,2,2,1
394,6,2,4,8,1.8,86.18,2,2,1
395,6,2,3,5,1.8,73.48,1,2,1
396,6,2,3,,1.9,104.33,2,2,1
397,6,1,3,5,1.68,58.97,2,2,
398,6,1,3,5,1.75,73.48,2,1,2
399,5,1,3,,1.47,60.78,2,1,1
400,6,2,3,6,1.75,68.04,2,2,1
401,5,2,3,5,,,2,2,1
402,5,1,3,7,1.55,55.34,2,2,1
403,6,2,3,6,1.73,74.84,2,2,
404,3,2,1,7,,,1,1,3
405,4,2,1,5,1.75,97.07,2,2,1
406,4,2,1,7,1.83,73.94,2,2,1
407,4,2,1,5,,,1,2,1
408,5,1,3,5,,,2,2,1
409,6,1,3,5,1.57,54.43,2,1,1
410,5,1,3,5,1.55,58.97,1,1,1
411,5,2,3,7,1.78,56.7,2,2,1
412,5,2,3,7,1.8,101.15,1,1,3
413,6,2,3,5,1.65,57.61,1,2,1
414,4,1,1,5,1.6,46.72,2,1,1
415,3,2,1,5,1.73,83.92,2,2,1
416,3,2,1,7,1.55,45.36,2,2,1
417,3,1,1,5,1.63,64.41,2,1,1
418,4,2,1,7,1.7,55.34,2,2,1
419,3,1,1,5,1.68,49.9,2,2,1
420,3,1,1,5,1.57,53.52,2,1,2
421,3,1,1,1,1.63,55.34,2,2,1
422,3,2,1,5,1.55,48.08,2,2,1
423,3,2,1,7,1.65,53.52,2,2,1
424,3,2,1,7,1.78,61.69,2,2,1
425,4,1,1,7,1.68,65.77,2,1,
426,3,2,1,7,1.73,55.34,2,2,1
427,3,2,1,5,1.6,58.97,2,2,1
428,3,1,1,7,,,2,2,1
429,4,2,2,7,,,2,2,1
430,5,,2,1,,,2,2,
431,5,1,2,5,1.63,63.05,2,2,1
432,3,2,1,5,1.78,68.04,2,2,1
433,3,1,1,5,,,2,2,
434,4,2,2,7,1.8,67.59,2,2,1
435,6,1,2,5,1.6,48.54,2,1,
436,4,1,2,7,1.68,69.85,2,1,2
437,4,2,2,5,,,1,2,1
438,4,2,2,6,1.83,72.58,2,2,1
439,6,2,2,5,1.78,79.38,2,2,
440,4,1,2,5,1.63,47.63,1,1,2
441,4,1,1,5,,,1,2,1
442,5,2,2,4,1.65,63.5,2,2,
443,4,2,2,8,1.7,58.97,2,2,1
444,3,2,1,7,1.63,75.3,2,2,1
445,3,1,1,7,,,2,2,1
446,4,1,1,5,1.68,70.31,2,2,1
447,4,1,1,7,,,2,2,
448,5,2,2,7,,,,,
449,5,2,2,1,1.88,71.67,2,2,1
450,5,1,2,6,,,1,2,
451,4,2,2,5,,,2,2,1
452,5,1,2,6,,,1,1,1
453,5,1,2,3,1.63,90.27,1,2,1
454,5,2,2,1,1.7,117.94,2,2,
455,4,1,1,3,,,2,2,1
456,3,1,1,5,1.8,72.58,2,1,1
457,4,2,2,6,1.73,57.61,2,1,3
458,4,2,2,7,1.78,61.69,2,2,1
459,5,2,2,5,1.83,86.18,2,2,1
460,4,1,2,7,1.6,61.24,2,2,1
461,4,1,2,7,1.6,54.43,1,1,1
462,5,1,2,5,1.65,56.7,1,1,1
463,5,2,2,5,1.7,64.41,2,2,1
464,4,2,2,8,1.68,72.58,1,,1
465,4,2,2,7,1.73,88.45,1,1,1
466,5,1,2,1,1.7,54.43,1,1,1
467,4,2,2,2,1.68,86.18,2,2,1
468,4,2,2,7,1.68,47.63,2,2,1
469,5,1,2,7,1.57,54.89,2,1,1
470,5,1,2,2,1.65,51.71,2,1,1
471,4,2,2,6,1.63,56.7,2,2,1
472,4,1,2,7,1.57,48.54,1,2,1
473,5,1,2,7,,,1,2,1
474,4,2,2,5,1.8,61.24,2,2,1
475,4,2,2,2,1.75,60.33,2,1,1
476,5,1,2,2,1.63,77.11,2,2,1
477,4,1,2,7,1.7,63.96,2,2,1
478,5,1,2,2,1.63,56.7,2,2,1
479,5,1,2,7,1.6,79.38,1,1,2
480,5,2,2,2,1.73,69.4,2,1,1
481,5,1,2,7,1.63,104.33,2,1,1
482,5,1,2,5,1.63,46.72,2,2,1
483,4,1,2,7,1.52,66.68,2,2,1
484,4,2,2,6,1.7,61.24,2,2,1
485,5,2,2,5,1.75,52.62,2,2,1
486,4,2,2,5,1.65,101.61,2,2,1
